id_berita,entitas,label
3,wali kota makassar,NOR
3,munafri ' appi ' arifuddin,PER
3,kelurahan katimbang,GPE
3,paccerakkang,GPE
3,kecamatan biringkanaya,GPE
3,kota makassar,GPE
3,app,PER
3,##i,ORG
3,kantor balai kota makassar,LOC
3,senin ( 12 / 1 / 2026 ),DAT
3,app,PER
3,##i,ORG
3,bmkg,ORG
3,rekomendasi bmkg,PRD
3,bmkg,ORG
3,makassar,GPE
3,app,PER
3,plt,NOR
3,kepala bmkg wilayah iv makassar,ORG
3,nasrol adil,PER
3,makassar,GPE
3,februari 2026,DAT
3,balai besar bmkg wilayah iv makassar,ORG
3,januari,DAT
3,februari,DAT
3,400 milimeter,QTY
3,satu bulan,QTY
3,nasrol,PER
3,nasrol,PER
3,kota makassar,GPE
3,nasrol,PER
3,bm,NOR
3,##kg,ORG
3,pemerintah daerah,NOR
3,februari,DAT
3,nasrol,PER
3,nasrol,PER
3,sulsel,GPE
3,makassar,GPE
3,##un asia,EVT
3,459,CRD
3,bp,NOR
3,##bd makassar,ORG
3,20. 00 wita,TIM
3,senin ( 12 / 1 ),DAT
3,459,CRD
3,121,CRD
3,kelurahan katimbang,GPE
3,kantor lurah katimbang,LOC
3,53,CRD
3,16 kk,QTY
3,sd paccerakkang,LOC
3,214,CRD
3,57 kk,QTY
3,masjid nurul ikhlas,LOC
3,18,CRD
3,4 kk,QTY
3,masjid lailatulqadar,LOC
3,39,CRD
3,10 kk,QTY
3,masjid ar ra ' mun,LOC
3,17,CRD
3,5 kk,QTY
3,kelurahan paccerakkang,GPE
3,masjid salsabil,LOC
3,9,CRD
3,5 kk,QTY
3,ummah,PER
3,59,CRD
3,1,CRD
3,3 kk,QTY
3,kantor lurah paccerak,LOC
3,50,CRD
3,12 kk,QTY
3,kepala pelaksana bpbd makassar,NOR
3,m fadli tahar,PER
5,kota makassar,GPE
5,sulawesi selatan,GPE
5,sulsel,GPE
5,detiksulsel,ORG
5,sabtu ( 21 / 2 / 2026 ),DAT
5,jalan urip sumoharjo,LOC
5,kantor gubernur sulsel,LOC
5,jalan ap pettarani,LOC
5,jalan sultan alauddin,LOC
5,jalan gunung nona,LOC
5,jalan pendidikan,LOC
5,panampu,LOC
5,kanal banta - bantaeng,LOC
5,pejabat pelaksana teknis kegiatan ( pptk ) satgas drainase dinas pu ma,NOR
5,kassar ronny narra,PER
5,kanal banta - ban,LOC
5,tae,PER
5,##ng,ORG
5,ronny,PER
5,detiksulsel,ORG
5,sabtu ( 21 / 2 ),DAT
5,18. 00 wita,TIM
5,06. 00,TIM
5,satgas drainase,ORG
5,jalan ap pettarani,LOC
5,banta,GPE
5,- banta,LOC
5,##eng,GPE
5,pann,GPE
5,##ampu,LOC
5,pet,GPE
5,##tarani,LOC
5,pannampu,LOC
5,kanal pannampu,LOC
5,ali,PER
5,jembatan,FAC
5,merah,LOC
6,badan penanggulangan bencana daerah ( bpbd ) makassar,NOR
6,sulawesi selatan,GPE
6,sulsel,GPE
6,5,CRD
6,satu meter,QTY
6,kepala pelaksana bpbd makassar,NOR
6,muhammad fadli tahar,PER
6,a,PER
6,sistem,PRD
6,ews,PRD
6,##lr,PRD
6,fadli,PER
6,selasa ( 24 / 2 / 2026 ),DAT
6,pos,NOR
6,##ko,ORG
6,bpbd,NOR
6,makassar,ORG
6,06. 10 - 07. 00 wita,TIM
6,jalan sermani 4,LOC
6,kelurahan tello,GPE
6,baru,GPE
6,kecamatan panakkukang,GPE
6,##100 cm,QTY
6,advertisement kompleks kodam iii,ORG
6,kot,GPE
6,##ipa xvi - xii,ORG
6,kelurahan katimbang,GPE
6,kecamatan biringkanaya,GPE
6,0 - 30 cm,QTY
6,jalan kecaping raya blok 8,LOC
6,kecamatan manggala,GPE
6,0 - 20 cm,QTY
6,kelurahan kapasa,GPE
6,rw 6,LOC
6,##30 cm,QTY
6,terowongan rappokalling,LOC
6,##40 cm,QTY
6,fadli,PER
6,perahu karet,PRD
6,bpbd kota makassar,NOR
7,waduk tunggu pampang,LOC
7,kota makassar,GPE
7,sulawesi selatan,GPE
7,sulsel,GPE
7,sepeda motor,PRD
7,detiksulsel,LOC
7,jalan inspeksi kanal borong,LOC
7,kecamatan manggala,GPE
7,makassar,GPE
7,rabu ( 25 / 2 / 2026 ),DAT
7,08. 56 wita,TIM
7,mobil,PRD
7,motor,PRD
7,motor,PRD
7,s,PER
7,jas hujan,PRD
7,waduk tunggu pampang,LOC
7,kota makassar,GPE
7,sulawesi selatan,GPE
7,sulsel,GPE
7,rabu ( 25 / 2 / 2026 ),DAT
7,nihza zazkiah yusuf,PER
7,detiksulsel,ORG
7,makassar,GPE
7,selasa ( 24 / 2 ),DAT
7,makassar,GPE
8,badan penanggulangan bencana daerah ( bpbd ) makassar,NOR
8,sulawesi selatan,GPE
8,sulsel,GPE
8,545,CRD
8,enam,CRD
8,kecamatan manggala,GPE
8,biringkanaya,GPE
8,bpbd makassar,NOR
8,rabu ( 25 / 2 / 2026 ),DAT
8,manggala,GPE
8,masjid jabal nur,LOC
8,36,CRD
8,27,CRD
8,masjid yuda alfatih,LOC
8,kecamatan biringkanaya,GPE
8,232,CRD
8,masjid lailatul qadar,LOC
8,sd paccerakk,LOC
8,86,CRD
8,31,CRD
8,masjid al ramun,LOC
8,6,CRD
8,169 kk,QTY
8,54,CRD
8,##5,QTY
8,kepala bpbd makassar,NOR
8,fadli tahar,PER
8,detiksulsel,ORG
8,rabu ( 25 / 2 / 2026 ),DAT
8,wali kota makassar,NOR
8,munafri,PER
8,appi ',PER
8,arifudd,PER
8,in,PER
8,manggala,LOC
8,selasa ( 24 / 2 ),DAT
8,22. 30 wita,TIM
8,app,PER
8,##i,ORG
8,masjid jabal nur blok 10,LOC
8,rt 2,LOC
8,gun,PER
8,##gs,ORG
8,appi,PER
8,sima,PER
8,brasil,GPE
8,20,CRD
8,yld,PER
8,zap,PER
9,kawasan,LOC
9,perumnas antang,LOC
9,kota makassar,GPE
9,sulawesi selatan,GPE
9,sulsel,GPE
9,detiksulsel,LOC
9,rabu ( 25 / 2 / 2026 ),DAT
9,12. 00 wita,TIM
9,perumnas,LOC
9,blok 10,LOC
9,blok 8,LOC
9,motor,PRD
9,mobil,PRD
9,motor,PRD
9,blok 8,LOC
9,nurmia,PER
9,rabu ( 25 / 2 ),DAT
9,perumnas,LOC
9,antang,FAC
9,makassar,LOC
9,sahrul alim,PER
9,detiksulsel,ORG
9,masjid jabal nur,LOC
9,24,CRD
9,kepala,QTY
9,kk,QTY
9,69,QTY
9,24 kk,QTY
9,jalan terompet,LOC
9,masjid ) jab,LOC
9,##al nur,PER
9,endang,PER
9,selasa ( 24 / 2 ),DAT
9,10. 00 wita,TIM
9,ketua rt,NOR
9,1,CRD
9,jabal nur,LOC
9,02. 00 s,TIM
9,ian,PER
9,8 kk,QTY
9,36,CRD
9,69,CRD
9,545,CRD
9,enam,CRD
9,masjid,FAC
9,kecamatan manggala,GPE
9,biringkana,GPE
9,6,CRD
9,169 kk,QTY
9,545,CRD
9,kepala bpbd makassar,NOR
9,fadli tahar,PER
9,rabu ( 25 / 2 ),DAT
10,jalan poros moncongloe,LOC
10,kabupaten maros,GPE
10,bumi tamalanrea permai,LOC
10,btp,LOC
10,kota makassar,GPE
10,sulawesi selatan,GPE
10,sulsel,GPE
10,kampus politeknik negeri ujung pandang,LOC
10,pnup,LOC
10,jalan poros biring je,LOC
10,' ne,LOC
10,kabupaten maros,GPE
10,rabu ( 25 / 2 / 2026 ),DAT
10,moncong,GPE
10,##loe,LOC
10,btp,LOC
10,kodam iii makassar,LOC
10,polsek moncongloe,NOR
10,ipda ramadan,PER
10,80 sentimeter,QTY
10,lui motor,PRD
10,mobil,PRD
10,jalan,LOC
10,kodam iii,LOC
10,##80 cm,QTY
10,kendaraan roda empat,PRD
10,roda,PRD
10,dua,CRD
10,ramadan,PER
10,rabu ( 25 / 2 ),DAT
10,kampus pnup,LOC
10,kendaraan roda dua,PRD
10,roda empat,PRD
10,kampus politeknik negeri ujung pandang,LOC
10,dusun pamanjengan,GPE
10,desa moncongloe,GPE
10,r4,PRD
10,mobil,PRD
10,r2,PRD
10,wahyu,PER
10,perumahan royal sentraland,LOC
10,jembatan,LOC
10,kampus pnup,LOC
10,royal,LOC
10,btp,LOC
10,moncongloe,LOC
10,kampus pnup,LOC
10,kampus,LOC
10,jalan poros,LOC
10,moncong,GPE
10,##loe,LOC
10,maros,GPE
10,btp makassar,LOC
10,kampus pnup,LOC
10,yak motor,PRD
10,motor,PRD
10,politeknik,ORG
10,moncongloe,GPE
10,firman,PER
10,42,CRD
10,detiksulsel,ORG
10,rabu ( 25 / 2 ),DAT
11,10,QTY
11,sma,FAC
11,negeri,ORG
11,19 makassar,FAC
11,sulawesi selatan,GPE
11,sulsel,GPE
11,ramadan,REG
11,pesantren kilat,EVT
11,musa,FAC
11,##la sekolah,ORG
11,detik,LOC
11,##sulsel,ORG
11,rabu ( 25 / 2 / 2026 ),DAT
11,15. 00 wita,TIM
11,sma negeri 19,ORG
11,makassar,LOC
11,kecamatan manggala,GPE
11,andi rieva,PER
11,detiksulsel,ORG
11,advertis,ORG
11,sma negeri 19 makassar,ORG
11,sulawesi selatan,GPE
11,sulsel,GPE
11,sahrul alim,PER
11,detiksulsel,ORG
11,10,CRD
11,dua,CRD
11,pesantren kilat,EVT
11,pesantren kilat,ORG
11,10,CRD
11,1,CRD
11,3,CRD
11,wc,FAC
11,2,CRD
11,rieva,PER
11,ramadan,REG
11,program ramadan,EVT
11,x,ORD
11,musala,LOC
11,xii,ORD
11,musala,LOC
11,sekretariat,NOR
11,osis,ORG
11,tiga,CRD
11,3 hari,QTY
11,rieva,PER
11,pesantren kilat,ORG
11,tiga hari,QTY
11,libur ramdan,EVT
11,puasa,REG
11,3 hari,QTY
11,pesantren kilat,EVT
11,satu minggu,QTY
12,btn kodam iii,LOC
12,kecamatan biringkanaya,GPE
12,makassar,GPE
12,sulawesi selatan,GPE
12,sulsel,GPE
12,2 hari,QTY
12,makassar,GPE
12,bt,NOR
12,##n kodam,ORG
12,iii,NOR
12,senin ( 23 / 2 / 2026 ),DAT
12,selasa ( 24 / 2 ),DAT
12,senin,DAT
12,selasa,DAT
12,w,PER
12,arga,PER
12,audensi,PER
12,detiksulsel,ORG
12,rabu ( 25 / 2 ),DAT
12,audensi,PER
12,btn kodam iii,LOC
12,kecamatan biringkanaya,GPE
12,sd paccerakkang makassar,LOC
12,nurul hidayah,PER
12,detiksulsel,ORG
12,selasa ( 24 / 2 ),DAT
12,selasa,DAT
12,puasa,REG
12,aud,PER
12,sd,LOC
12,paccerak,FAC
12,##kang makassar,LOC
12,enam,CRD
12,kk,ORG
12,sd paccerakkang,LOC
12,sem,PER
12,pat,PER
12,enam,CRD
12,tiga,CRD
12,satu,CRD
12,audensi,PER
12,masjid btn kodam 3,LOC
12,masjid nurul ikhlas,LOC
12,ibu,PER
12,rt,PER
12,masjid,REG
12,aud,PER
12,makassar,GPE
12,bt,NOR
12,##n kodam,ORG
12,iii,NOR
12,mesin cuci,PRD
12,kursi,PRD
12,lemari,PRD
